Motor Name,Index,D (in),P (in),Power (W),RPM,Thrust (N),Speed (m/s),Weight,KV,Max Amps
Torque 22T-930,947,8,6,45,6150,2.55953565,15.601696,0,0,0
GPS B20-30-B,948,8,6,46,5760,2.46146915,14.618208,0,0,0
Mega RCn 600/20/8,949,8,6,48,5970,2.3339827,15.154656,136,887,35
Tower Pro A2409-18,950,8,6,48,6120,2.77528195,15.556992,0,0,0
Hyperion Z2213-24,951,8,6,48,6300,2.7262487,16.004032,0,0,0
Infinite A2209-1160,952,8,6,49,6240,2.87334845,15.86992,0,0,0
Infinite A2209-1160,953,8,6,49,6240,2.87334845,15.86992,0,0,0
E-power GC GT2210-1270,954,8,6,50,6060,2.63798885,15.378176,0,0,0
Mega RCn 400/15/7,955,8,6,51,6570,3.34406765,16.674592,0,0,0
Feigao 1308422S,956,8,6,52,6510,2.85373515,16.54048,0,0,0
Infinite A2213-1190,957,8,6,53,6450,3.0596748,16.361664,0,0,0
Infinite A2213-1190,958,8,6,53,6450,3.0596748,16.361664,0,0,0
Mega RCn 400/15/6,959,8,6,54,6600,3.2165812,16.764,0,0,0
AXI 2212/26,960,8,6,54,6630,2.97141495,16.853408,0,0,0
Torque 26T-1135,961,8,6,55,6540,3.10870805,16.629888,0,0,0
Motrolfly 2210-1050,962,8,6,56,6540,3.18716125,16.629888,0,0,0
G Force G10,963,8,6,57,6390,2.93218835,16.227552,0,0,0
Dualsky XM 2826 CA-15,964,8,6,57,6450,3.16754795,16.361664,0,0,0
XMotor 2826CA-15T,965,8,6,57,6450,3.16754795,16.361664,0,0,0
Mega RCn 400/7/12,966,8,6,57,6630,3.4715541,16.853408,0,0,0
Mini AC 1215-20,967,8,6,58,6330,2.93218835,16.09344,0,0,0
iFlight iPower Multimate MT2208-1400,968,8,6,61,6450,3.01064155,16.361664,0,0,0
Exceed Rocket 2215-3400,969,8,6,61,6690,3.2361945,16.98752,0,0,0
Ammo 20-40-3500,970,8,6,62,6660,3.2950344,16.898112,0,0,0
Mega RCn 400/15/5,971,8,6,62,7020,3.87362675,17.836896,0,0,0
GPS B20-30-B,972,8,6,63,6360,3.04986815,16.138144,0,0,0
Mega RCn 400/7/16,973,8,6,63,6780,3.42252085,17.21104,39,857,8
Hacker A20-22L,974,8,6,64,6780,3.26561445,17.21104,0,0,0
Torque 22T-930,975,8,6,65,6870,3.34406765,17.43456,0,0,0
Hyperion Z2213-24,976,8,6,66,6900,3.30484105,17.523968,0,0,0
Mega RCn 400/15/7,977,8,6,66,7170,4.10898635,18.194528,0,0,0
Tower Pro A2409-18,978,8,6,67,6780,3.4519408,17.21104,0,0,0
Atlas AM 2909/20,979,8,6,67,6990,3.4323275,17.747488,0,0,0
E-power GC GT2210-1270,980,8,6,68,6600,3.1773546,16.764,0,0,0
Infinite A2209-1160,981,8,6,69,6900,3.5696206,17.523968,0,0,0
Infinite A2209-1160,982,8,6,69,6900,3.5696206,17.523968,0,0,0
Exceed Optima 2220-2700,983,8,6,71,6930,3.530394,17.613376,0,0,0
Motrolfly 2210-1400,984,8,6,71,7020,3.726527,17.836896,0,0,0
Common Sense RC E5-L-13,985,8,6,71,7080,3.71672035,17.971008,0,0,0
Feigao 1308422S,986,8,6,71,7170,3.530394,18.194528,0,0,0
AXI 2212/26,987,8,6,72,7200,3.6284605,18.283936,0,0,0
Mega RCn 400/15/6,988,8,6,72,7230,3.7853669,18.373344,0,0,0
Castle 3412-1100,989,8,6,72,7350,3.97169325,18.686272,175,1235,0
Motrolfly 2210-1050,990,8,6,74,7110,3.7069137,18.060416,0,0,0
Mega RCn 400/7/12,991,8,6,74,7140,4.0599531,18.149824,0,0,0
Infinite A2213-1190,992,8,6,76,7230,3.91285335,18.373344,0,0,0
Infinite A2213-1190,993,8,6,76,7230,3.91285335,18.373344,0,0,0
Turnigy SK 3530-1400,994,8,6,76,7410,4.08937305,18.820384,0,0,0
Mini AC 1215-20,995,8,6,77,6930,3.5892339,17.613376,0,0,0
Torque 26T-1135,996,8,6,77,7200,3.7853669,18.283936,0,0,0
Dualsky XM 2826 CA-15,997,8,6,80,7140,3.89324005,18.149824,0,0,0
XMotor 2826CA-15T,998,8,6,80,7140,3.89324005,18.149824,0,0,0
G Force G10,999,8,6,81,7230,3.77556025,18.373344,0,0,0
GPS B20-30-B,1000,8,6,83,6900,3.6480738,17.523968,0,0,0
KEDA TR2826/22,1001,8,6,83,7260,3.91285335,18.418048,0,0,0
KEDA TR2826/22,1002,8,6,83,7260,3.91285335,18.418048,0,0,0
Mega RCn 400/15/7,1003,8,6,83,7740,4.81506515,19.66976,0,0,0
Justgofly 550XT 6-magnet,1004,8,6,84,7320,4.06975975,18.596864,0,0,0
Common Sense RC E8-S-12,1005,8,6,84,7440,4.0403398,18.909792,0,0,0
iFlight iPower Multimate MT2208-1400,1006,8,6,86,7080,3.726527,17.971008,0,0,0
Ammo 20-40-3500,1007,8,6,86,7440,4.16782625,18.909792,0,0,0
E-power GC GT2210-1270,1008,8,6,87,7140,3.6873004,18.149824,0,0,0
Hacker A20-22L,1009,8,6,87,7440,3.9814999,18.909792,0,0,0
Hyperion Z2213-24,1010,8,6,87,7500,3.97169325,19.043904,0,0,0
Torque 22T-930,1011,8,6,87,7500,4.0207265,19.043904,0,0,0
Tower Pro A2409-18,1012,8,6,90,7350,4.12859965,18.686272,0,0,0
Exceed Rocket 2215-3400,1013,8,6,90,7560,4.3345393,19.22272,0,0,0
EP 2212-1330,1014,8,6,90,7650,4.3345393,19.44624,0,0,0
Infinite A2209-1160,1015,8,6,92,7470,4.2168595,18.954496,0,0,0
Infinite A2209-1160,1016,8,6,92,7470,4.2168595,18.954496,0,0,0
Feigao 1308422S,1017,8,6,92,7800,4.1580196,19.803872,0,0,0
Mega RCn 400/7/12,1018,8,6,94,7520,4.65815875,19.088608,0,0,0
Motrolfly 2210-1050,1019,8,6,94,7590,4.30511935,19.267424,0,0,0
AXI 2212/26,1020,8,6,95,7800,4.26589275,19.803872,0,0,0
Atlas AM 2909/20,1021,8,6,95,7800,4.3345393,19.803872,0,0,0
Mega RCn 400/15/6,1022,8,6,96,7890,4.63854545,20.027392,0,0,0
LightFlightRC 28-37-2 Silver #1,1023,8,6,97,7710,4.4522191,19.580352,0,0,0
Motrolfly 2210-1400,1024,8,6,99,7710,4.511059,19.580352,0,0,0
Exceed Optima 2220-2700,1025,8,6,100,7800,4.5502856,19.803872,0,0,0
Common Sense RC E5-L-13,1026,8,6,101,7830,4.6483521,19.89328,0,0,0
Infinite A2213-1190,1027,8,6,101,7860,4.65815875,19.982688,0,0,0
Infinite A2213-1190,1028,8,6,101,7860,4.65815875,19.982688,0,0,0
Torque 26T-1135,1029,8,6,102,7770,4.511059,19.714464,0,0,0
Mini AC 1215-20,1030,8,6,103,7560,4.30511935,19.22272,0,0,0
Castle 3412-1100,1031,8,6,103,8220,5.1190713,20.876768,175,1235,0
Mega RCn 400/15/5,1032,8,6,104,8250,5.5113373,20.966176,0,0,0
Dualsky XM 2826 CA-15,1033,8,6,105,7650,4.6091255,19.44624,0,0,0
XMotor 2826CA-15T,1034,8,6,105,7650,4.6091255,19.44624,0,0,0
Mega RCn 600/20/8,1035,8,6,106,7860,4.3541526,19.982688,136,887,35
GPS B20-30-B,1036,8,6,107,7380,4.24627945,18.730976,0,0,0
Komodo KH2407-16,1037,8,6,107,7860,4.5698989,19.982688,0,0,0
G Force G10,1038,8,6,107,7980,4.57970555,20.250912,0,0,0
Mega RCn 400/7/16,1039,8,6,108,7860,4.8248718,19.982688,39,857,8
Turnigy SK 3530-1400,1040,8,6,108,8280,5.20733115,21.01088,0,0,0
E-power GC GT2210-1270,1041,8,6,109,7590,4.28550605,19.267424,0,0,0
iFlight iPower Multimate MT2208-1400,1042,8,6,111,7590,4.3541526,19.267424,0,0,0
Hyperion Z2213-24,1043,8,6,111,8100,4.6483521,20.56384,0,0,0
KEDA TR2826/22,1044,8,6,113,7860,4.6091255,19.982688,0,0,0
KEDA TR2826/22,1045,8,6,113,7860,4.6091255,19.982688,0,0,0
