D (in),P (in),Power (W),RPM,Thrust (N),Speed (m/s),Weight,KV,Max Amps
7,5,63,9180,3.5107807,19.44624,0,0,0
7,5,63,9210,3.4715541,19.490944,0,0,0
7,5,64,7410,3.14793465,15.691104,0,0,0
7,5,64,8760,3.5696206,18.55216,0,0,0
7,5,64,8970,3.42252085,18.9992,0,0,0
7,5,64,9120,3.59904055,19.312128,0,0,0
7,5,64,9150,3.7069137,19.356832,0,0,0
7,5,64,9150,3.7069137,19.356832,0,0,0
7,5,65,8550,3.1185147,18.10512,0,0,0
7,5,67,9000,3.6284605,19.043904,0,0,0
7,5,67,9120,3.6088472,19.312128,0,0,0
7,5,67,9210,3.8245935,19.490944,0,0,0
7,5,68,8580,3.24600115,18.149824,0,0,0
7,5,68,9180,3.726527,19.44624,0,0,0
7,5,68,9300,3.77556025,19.66976,0,0,0
7,5,68,9390,3.59904055,19.89328,0,0,0
7,5,69,8430,3.08909475,17.836896,0,0,0
7,5,69,8430,3.08909475,17.836896,0,0,0
7,5,69,9270,3.7657536,19.625056,0,0,0
7,5,69,9450,4.0207265,19.982688,0,0,0
7,5,70,9090,3.59904055,19.22272,0,0,0
7,5,70,9090,3.59904055,19.22272,0,0,0
7,5,70,9180,3.54020065,19.44624,0,0,0
7,5,70,9300,3.7853669,19.66976,0,0,0
7,5,70,9390,3.83440015,19.89328,34,5150,10
7,5,70,9390,3.92266,19.89328,0,0,0
7,5,70,9390,3.92266,19.89328,0,0,0
7,5,71,8820,3.48136075,18.686272,0,0,0
7,5,71,9330,3.8834334,19.759168,39,857,8
7,5,72,9030,3.44213415,19.133312,0,0,0
7,5,72,9090,3.65788045,19.22272,0,0,0
7,5,72,9180,3.79517355,19.44624,0,0,0
7,5,72,9300,3.8245935,19.66976,0,0,0
7,5,72,9420,3.95207995,19.937984,0,0,0
7,5,72,9660,4.12859965,20.429728,0,0,0
7,5,73,9210,3.63826715,19.490944,0,0,0
7,5,73,9420,3.81478685,19.937984,0,0,0
7,5,73,9420,3.9030467,19.937984,0,0,0
7,5,74,9330,4.03053315,19.759168,0,0,0
7,5,74,9360,3.7657536,19.803872,0,0,0
7,5,74,9390,3.9422733,19.89328,0,0,0
7,5,74,9540,4.03053315,20.206208,0,0,0
